year,total_flights,cancelled_flights,diverted_flights,cancellation_rate_pct,avg_dep_delay_min,avg_arr_delay_min,avg_air_time_min,avg_actual_elapsed_time_min,avg_scheduled_elapsed_time_min,avg_distance_km,unique_origins,unique_destinations,unique_carriers,pct_flights_delayed_dep,pct_flights_delayed_arr
1988,5202096,50163,14436,0.9643,6.71,6.55,,104.04,103.99,968.13,238,236,14,39.75,53.62
1989,5041200,74165,14839,1.4712,8.2,8.41,,107.48,107.04,995.04,237,237,13,43.71,56.19
1990,5270893,52458,15954,0.9952,6.91,6.81,,110.53,110.44,1017.95,235,236,12,42.73,52.0
1991,5076925,43505,12585,0.8569,5.75,4.74,,111.64,112.5,1039.94,233,233,12,42.38,48.28
1992,5092157,52836,11384,1.0376,5.69,4.88,,112.83,113.45,1056.23,233,233,10,44.72,49.3
1993,5070501,59845,10333,1.1803,6.12,5.34,,114.38,114.99,1077.66,227,227,10,44.74,48.72
1994,5180048,66740,12106,1.2884,6.66,5.66,,114.0,114.83,1079.45,224,225,10,46.21,48.84
1995,5327435,91905,10492,1.7251,8.28,7.02,97.28,116.51,117.53,1119.26,218,218,10,48.85,49.93
1996,5351983,128536,14121,2.4017,9.99,9.67,99.71,119.58,119.67,1147.03,211,212,10,48.31,52.79
1997,5411843,97763,12081,1.8065,8.24,7.49,101.28,121.36,121.83,1165.49,205,206,10,43.0,50.14
1998,5384721,144509,13161,2.6837,9.02,7.59,102.94,123.65,124.8,1188.55,207,208,10,41.15,46.65
1999,5527884,154311,13555,2.7915,9.34,8.25,104.7,126.51,127.33,1212.18,205,205,10,39.82,46.86
2000,5683047,187490,14254,3.2991,11.28,10.47,106.46,128.93,129.54,1230.03,206,206,11,42.75,48.88
2001,5967780,231198,12909,3.8741,8.15,5.53,103.23,125.03,127.48,1179.69,231,230,12,37.45,40.88
2002,5271359,65143,8356,1.2358,5.53,3.19,105.77,127.39,129.47,1220.63,218,219,10,33.29,38.59
2003,6488540,101469,11381,1.5638,5.25,3.6,104.41,122.38,123.79,1144.93,282,282,18,28.65,37.63
2004,7129270,127757,13784,1.792,7.89,6.51,102.22,123.38,124.45,1148.42,285,288,19,33.84,42.34
2005,7140596,133730,14028,1.8728,8.67,7.18,101.28,124.73,125.9,1164.74,286,289,20,35.54,42.9
2006,7141922,121934,16186,1.7073,10.09,8.68,102.85,126.06,127.18,1171.6,289,296,20,39.56,44.77
2007,7453215,160748,17179,2.1568,11.4,10.19,102.82,126.32,127.25,1158.41,304,310,20,42.19,46.34
